Country,Year,Count,Count_Origin,Ratio
Albania,2017,28,17,60.71
Albania,2018,25,16,64.0
Albania,2019,23,17,73.91
Albania,2020,19,15,78.95
Albania,2021,25,19,76.0
Andorra,2017,28,12,42.86
Andorra,2018,28,11,39.29
Andorra,2019,26,6,23.08
Andorra,2020,14,8,57.14
Andorra,2021,27,12,44.44
Armenia,2017,25,18,72.0
Armenia,2018,18,13,72.22
Armenia,2019,33,14,42.42
Armenia,2020,27,9,33.33
Armenia,2021,17,6,35.29
Austria,2017,32,9,28.12
Austria,2018,28,9,32.14
Austria,2019,27,9,33.33
Austria,2020,28,20,71.43
Austria,2021,27,8,29.63
Azerbaijan,2017,25,17,68.0
Azerbaijan,2018,23,15,65.22
Azerbaijan,2019,23,12,52.17
Azerbaijan,2020,23,14,60.87
Azerbaijan,2021,26,17,65.38
Belarus,2017,24,20,83.33
Belarus,2018,27,19,70.37
Belarus,2019,25,19,76.0
Belarus,2020,26,16,61.54
Belarus,2021,28,18,64.29
Belgium,2017,28,9,32.14
Belgium,2018,28,8,28.57
Belgium,2019,26,9,34.62
Belgium,2020,29,12,41.38
Belgium,2021,33,15,45.45
Bosnia-Herzegovina,2017,25,14,56.0
Bosnia-Herzegovina,2018,28,19,67.86
Bosnia-Herzegovina,2019,30,21,70.0
Bosnia-Herzegovina,2020,29,21,72.41
Bosnia-Herzegovina,2021,36,28,77.78
Bulgaria,2017,39,24,61.54
Bulgaria,2018,41,27,65.85
Bulgaria,2019,32,18,56.25
Bulgaria,2020,27,13,48.15
Bulgaria,2021,42,25,59.52
Croatia,2017,25,14,56.0
Croatia,2018,33,19,57.58
Croatia,2019,29,16,55.17
Croatia,2020,33,23,69.7
Croatia,2021,37,24,64.86
Cyprus,2017,29,14,48.28
Cyprus,2018,33,11,33.33
Cyprus,2019,31,10,32.26
Cyprus,2020,28,14,50.0
Cyprus,2021,30,13,43.33
Czech Republic,2017,25,15,60.0
Czech Republic,2018,27,22,81.48
Czech Republic,2019,30,20,66.67
Czech Republic,2020,26,18,69.23
Czech Republic,2021,34,21,61.76
Denmark,2017,28,17,60.71
Denmark,2018,25,12,48.0
Denmark,2019,25,15,60.0
Denmark,2020,31,18,58.06
Denmark,2021,27,16,59.26
England,2017,24,5,20.83
England,2018,27,7,25.93
England,2019,32,9,28.12
England,2020,42,17,40.48
England,2021,31,10,32.26
Estonia,2017,25,20,80.0
Estonia,2018,28,27,96.43
Estonia,2019,24,17,70.83
Estonia,2020,26,25,96.15
Estonia,2021,23,23,100.0
Faroe Islands,2017,26,23,88.46
Faroe Islands,2018,26,23,88.46
Faroe Islands,2019,25,20,80.0
Faroe Islands,2020,25,16,64.0
Faroe Islands,2021,27,22,81.48
Finland,2017,29,17,58.62
Finland,2018,29,17,58.62
Finland,2019,29,17,58.62
Finland,2020,29,17,58.62
Finland,2021,29,17,58.62
France,2017,33,14,42.42
France,2018,29,13,44.83
France,2019,30,16,53.33
France,2020,31,10,32.26
France,2021,28,11,39.29
Germany,2017,29,15,51.72
Germany,2018,36,22,61.11
Germany,2019,29,15,51.72
Germany,2020,34,16,47.06
Germany,2021,38,22,57.89
Gibraltar,2017,27,6,22.22
Gibraltar,2018,29,15,51.72
Gibraltar,2019,34,12,35.29
Gibraltar,2020,20,7,35.0
Gibraltar,2021,20,8,40.0
Greece,2017,27,10,37.04
Greece,2018,32,18,56.25
Greece,2019,33,13,39.39
Greece,2020,36,16,44.44
Greece,2021,36,19,52.78
Hungary,2017,28,21,75.0
Hungary,2018,31,22,70.97
Hungary,2019,31,16,51.61
Hungary,2020,30,15,50.0
Hungary,2021,31,12,38.71
Iceland,2017,24,17,70.83
Iceland,2018,23,18,78.26
Iceland,2019,21,17,80.95
Iceland,2020,22,19,86.36
Iceland,2021,24,18,75.0
Ireland,2017,25,23,92.0
Ireland,2018,30,27,90.0
Ireland,2019,26,20,76.92
Ireland,2020,25,17,68.0
Ireland,2021,25,20,80.0
Israel,2017,26,20,76.92
Israel,2018,31,25,80.65
Israel,2019,26,21,80.77
Israel,2020,26,18,69.23
Israel,2021,26,18,69.23
Italy,2017,32,17,53.12
Italy,2018,29,14,48.28
Italy,2019,36,18,50.0
Italy,2020,33,14,42.42
Italy,2021,33,14,42.42
Kazakhstan,2017,24,18,75.0
Kazakhstan,2018,25,17,68.0
Kazakhstan,2019,33,24,72.73
Kazakhstan,2020,25,17,68.0
Kazakhstan,2021,28,18,64.29
Kosovo,2017,28,24,85.71
Kosovo,2018,17,14,82.35
Kosovo,2019,23,19,82.61
Kosovo,2020,20,16,80.0
Kosovo,2021,27,18,66.67
Latvia,2017,29,16,55.17
Latvia,2018,21,15,71.43
Latvia,2019,30,17,56.67
Latvia,2020,27,15,55.56
Latvia,2021,23,10,43.48
Lithuania,2017,28,18,64.29
Lithuania,2018,31,23,74.19
Lithuania,2019,27,14,51.85
Lithuania,2020,25,13,52.0
Lithuania,2021,25,14,56.0
Luxembourg,2017,27,11,40.74
Luxembourg,2018,24,10,41.67
Luxembourg,2019,29,10,34.48
Luxembourg,2020,24,12,50.0
Luxembourg,2021,34,17,50.0
Montenegro,2017,25,24,96.0
Montenegro,2018,30,26,86.67
Montenegro,2019,25,22,88.0
Montenegro,2020,23,20,86.96
Montenegro,2021,31,30,96.77
Netherlands,2017,31,19,61.29
Netherlands,2018,29,17,58.62
Netherlands,2019,35,16,45.71
Netherlands,2020,33,17,51.52
Netherlands,2021,34,19,55.88
North Macedonia,2017,29,21,72.41
North Macedonia,2018,25,19,76.0
North Macedonia,2019,31,23,74.19
North Macedonia,2020,21,19,90.48
North Macedonia,2021,23,16,69.57
Northern Ireland,2017,25,23,92.0
Northern Ireland,2018,27,24,88.89
Northern Ireland,2019,31,27,87.1
Northern Ireland,2020,30,26,86.67
Northern Ireland,2021,27,23,85.19
Norway,2017,28,17,60.71
Norway,2018,25,17,68.0
Norway,2019,27,19,70.37
Norway,2020,25,18,72.0
Norway,2021,27,20,74.07
Poland,2017,35,24,68.57
Poland,2018,27,13,48.15
Poland,2019,27,19,70.37
Poland,2020,33,19,57.58
Poland,2021,33,19,57.58
Portugal,2017,32,11,34.38
Portugal,2018,31,11,35.48
Portugal,2019,28,10,35.71
Portugal,2020,28,12,42.86
Portugal,2021,35,22,62.86
Romania,2017,36,34,94.44
Romania,2018,31,21,67.74
Romania,2019,31,20,64.52
Romania,2020,32,19,59.38
Romania,2021,42,39,92.86
Russia,2017,31,21,67.74
Russia,2018,30,20,66.67
Russia,2019,34,21,61.76
Russia,2020,29,19,65.52
Russia,2021,31,23,74.19
Scotland,2017,32,16,50.0
Scotland,2018,30,14,46.67
Scotland,2019,39,17,43.59
Scotland,2020,38,16,42.11
Scotland,2021,28,8,28.57
Serbia,2017,33,23,69.7
Serbia,2018,25,18,72.0
Serbia,2019,29,18,62.07
Serbia,2020,27,18,66.67
Serbia,2021,31,19,61.29
Slovakia,2017,31,20,64.52
Slovakia,2018,27,20,74.07
Slovakia,2019,26,7,26.92
Slovakia,2020,29,9,31.03
Slovakia,2021,32,16,50.0
Slovenia,2017,30,21,70.0
Slovenia,2018,26,9,34.62
Slovenia,2019,31,21,67.74
Slovenia,2020,27,19,70.37
Slovenia,2021,34,24,70.59
Spain,2017,27,10,37.04
Spain,2018,29,15,51.72
Spain,2019,35,16,45.71
Spain,2020,30,11,36.67
Spain,2021,30,13,43.33
Sweden,2017,25,14,56.0
Sweden,2018,25,16,64.0
Sweden,2019,25,17,68.0
Sweden,2020,27,20,74.07
Sweden,2021,29,19,65.52
Switzerland,2017,29,11,37.93
Switzerland,2018,25,16,64.0
Switzerland,2019,25,17,68.0
Switzerland,2020,30,19,63.33
Switzerland,2021,29,20,68.97
Turkey,2017,36,19,52.78
Turkey,2018,39,22,56.41
Turkey,2019,37,21,56.76
Turkey,2020,29,13,44.83
Turkey,2021,27,12,44.44
Ukraine,2017,30,19,63.33
Ukraine,2018,31,17,54.84
Ukraine,2019,30,17,56.67
Ukraine,2020,30,17,56.67
Ukraine,2021,38,30,78.95
Wales,2017,24,9,37.5
Wales,2018,22,6,27.27
Wales,2019,35,33,94.29
Wales,2020,22,8,36.36
Wales,2021,20,7,35.0
